Ticker,Outcome,%ROA,%ROE,%NIG,D/E,P/E
EGOV,Gain,29,28,14,X,17
EIGI,N/L,0,3,104,10.37,0
ELSE,N/L,-1,-1,0,0.002,111
ELTK,N/L,-14,-296,25,10.86,0
EMAN,N/L,-38,-53,-25,X,0
EMKR,N/L,-24,-16,-312,X,24
ENPH,Gain,-3,-150,-74,14.1,0
ENTG,Gain,10,24,183,0.92,33
ENV,Gain,0,1,300,0.73,216
EPAM,Gain,15,19,230,0.02,48
EPAY,N/L,1,3,127,0.48,114
ERIC,N/L,-2,-7,-81,0.38,0
ESE,Gain,7,12,70,0.29,20
EVBG,Gain,-18,-113,-140,2.24,0
EVOL,N/L,-45,-80,-600,0.32,25
EVOP,N/L,-6,11,63,-0.84,X
EVTC,Gain,9,40,56,2.49,25
EXFO,Gain,-4,-7,-1300,0.1,0
EXLS,Gain,5,9,16,0.46,41
EXTR,N/L,-6,-42,-2250,1.75,0
FARO,Gain,1,1,133,X,36
FEIM,N/L,-27,-35,-380,X,0
FEYE,N/L,-9,-37,15,1.48,0
FFIV,N/L,17,35,8,X,23
FICO,Gain,10,44,-5,2.7,44
FIS,Gain,4,9,-32,0.88,28
FISV,Gain,11,52,-4,2.6,23
FIT,N/L,-12,-25,33,X,0
FIVN,Gain,-1,0,-97,1.46,0
FLEX,Gain,3,14,34,0.97,23
FLIR,Gain,10,15,163,0.22,52
FLT,Gain,7,24,9,1.2,24
FN,Gain,8,11,-13,0.09,17
FNJN,N/L,32,38,11,X,3
FORM,Gain,14,18,154,0.11,29
FORTY,Gain,5,10,220,0.47,23
FSCT,N/L,-19,-59,20,0.122,0
FSLR,Gain,2,3,188,0.08,8
FTFT,N/L,-276,201,-65,-0.45,0
FTNT,Gain,11,33,958,X,113
FTV,N/L,7,14,176,0.51,21
G,Gain,8,20,7,0.93,21
GDDY,N/L,1,10,-48,2.9,104
GDS,Gain,-2,-8,34,2.31,0
GIB,Gain,10,17,13,0.27,21
GILT,N/L,5,8,157,0.05,39
GLOB,Gain,12,15,69,X,46
GLW,N/L,4,9,-263,0.43,7
GPRO,N/L,-16,-51,40,0.65,0
GRMN,Gain,13,17,-2,X,19
GSB,Gain,11,23,300,X,39
GSIT,N/L,-5,-2,-500,X,0
GSKY,N/L,16,-368,-83,-11,X
GSUM,N/L,-57,-953,-105,4.51,0
GTYH,N/L,-56,44,-525,0.25,260
GVP,N/L,-1,-1,-700,0.27,12
GWRE,Gain,-1,-2,-248,0.22,0
HBB,N/L,8,41,22,0.71,15
HCKT,N/L,15,22,-11,0.05,19
HEAR,N/L,32,105,1400,0.997,7
HIMX,N/L,1,1,-68,0.42,51
HLIT,Gain,-4,-9,75,0.59,0
HMI,N/L,10,19,143,0.02,13
HPE,N/L,4,9,455,0.57,12
HPQ,N/L,15,-834,111,-9.36,8
HUBS,Gain,-8,-26,61,1.3,0
IBM,Gain,7,51,51,2.7,21
ICHR,Gain,12,29,4,0.492,9
IDEX,N/L,-30,-66,-145,0.35,0
IDN,Gain,-27,-31,33,X,0
IEC,N/L,12,41,1000,0.98,15
III,N/L,3,7,400,1.24,78
IIIV,N/L,-3,-4,-800,0.33,X
IIVI,N/L,5,9,7,0.45,28
IMMR,N/L,37,55,220,X,8
IMOS,Gain,4,7,-57,0.54,29
IMXI,N/L,-3,-16,46,2.63,0
INFN,Gain,-12,-30,-10,0.65,0
INFY,N/L,20,25,16,X,18
INOD,N/L,-1,-1,500,0.18,0
INPX,N/L,-162,-412,-25,0.87,0
ISNS,N/L,14,18,0,X,13
INSG,Gain,-5,-22,83,-3.91,0
INTC,Gain,16,28,119,0.35,16
INTU,Gain,2,47,35,0.155,44
INVE,N/L,-7,-14,25,0.49,0
IOTS,Gain,-16,-34,-250,0.47,0
IPGP,N/L,16,18,16,0.02,26
IPHI,Gain,-11,-26,27,1.22,0
IRBT,N/L,11,16,73,X,37
IT,Gain,2,14,3635,2.68,86
ITI,Gain,-6,-10,25,X,0
ITRI,Gain,-4,-13,-273,1.39,0
ITRN,N/L,17,39,39,0.47,13
JBL,Gain,1,4,-33,1.28,39
JCOM,Gain,5,12,-8,0.97,30
JCS,Gain,-9,-12,42,X,0
JG,N/L,-7,-11,32,0.36,X
JKHY,Gain,18,28,59,X,29
JKS,Gain,1,5,168,1.86,22
JNPR,N/L,6,12,85,0.44,39
KEM,Gain,21,55,440,0.7,11
KEYS,Gain,3,7,62,0.73,76
KLAC,Gain,14,50,-13,1.38,18
LSCC,Gain,-4,-10,63,1,0
LTRX,N/L,2,3,100,0,49
LUNA,Gain,2,2,-21,0.01,8
LYTS,Gain,-9,-14,-115,0.33,0
MANH,Gain,34,71,-10,X,30
MAXR,Gain,-17,-131,-2255,4.56,0
MCHP,Gain,3,8,55,0.94,742
MDB,Gain,-19,-34,20,X,0
MEI,Gain,6,9,-63,0.09,27
MGIC,Gain,7,10,33,0.11,21
MICT,N/L,-108,-1092,63,5.78,3
MIME,N/L,-3,-12,-140,0.7,0
MIND,N/L,-29,-39,55,X,0
MITK,N/L,-9,-12,-186,X,43
MIXT,N/L,9,12,56,0.01,26
MJCO,N/L,-5,-11,-400,0.3,74
MKSI,Gain,15,21,8.31,0.19,13
MLAB,Gain,-2,-3,-127,0.47,20
MNDO,N/L,20,24,-17,X,8
MOBL,Gain,-20,-80,19,X,0
MODN,Gain,-17,-70,30,1.34,0
MOGO,N/L,-17,253,-42,-15,X
MOSY,N/L,-97,-159,0,0.37,0
MPWR,Gain,13,16,61,X,63
MRAM,N/L,-39,-72,14,0.5,0
MRIN,N/L,-88,-140,-32,X,0
MRVL,Gain,8,10,2362,X,32
MSFT,Gain,6,20,-35,0.98,42
MTSC,N/L,5,13,144,0.81,18
MTLS,N/L,1,2,300,0.78,431
MTSI,Gain,-9,-20,17,1.04,0
MU,Gain,33,43,178,0.14,5
MVIS,N/L,-118,-662,-8,0.01,0
MX,Gain,-1,23,-104,-18,10
MXIM,Gain,10,24,-18,0.77,31
MXL,N/L,-4,-7,-283,0.65,0
MYSZ,N/L,-84,-113,-20,X,0
NATI,N/L,9,13,196,X,81
NCR,Gain,0,-9,-138,2.51,8
NEON,N/L,-30,-40,40,0.17,0
NETE,N/L,-19,-58,50,0.74,0
NEWR,N/L,-10,-21,26,X,0
NICE,Gain,5,8,11,0.23,31
NNDM,N/L,-76,-99,17,X,0
NOK,N/L,-1,-4,-76,0.25,0
NOVT,Gain,7,14,-18,0.56,96
NOW,Gain,-1,-2,-77,0.6,0
NPTN,N/L,-13,-27,17,0.36,0
NSIT,Gain,6,17,80,0.2,13
NSYS,N/L,0,1,100,0.71,13
NTAP,N/L,1,5,-76,0.68,114
NTCT,N/L,2,4,142,0.29,89
NTGR,N/L,2,3,-147,X,24
NTIP,N/L,13,13,100,X,8
NTNX,N/L,-19,-91,22,1.31,0
NTWK,N/L,7,9,180,0.12,9
NUAN,Gain,-3,-11,6,1.27,0
NVDA,Gain,27,41,83,0.26,38
NVEC,N/L,16,16,8,X,31
NVMI,Gain,16,19,17,X,15
NXPI,Gain,10,21,0,0.69,25
OCC,N/L,2,4,150,0.35,20
OIIM,N/L,2,3,133,X,15
OKTA,Gain,-28,-55,46,X,0
OLED,Gain,6,9,-43,X,66
MSI,Gain,10,-76,-723,-4.16,5
MSN,N/L,-14,-17,700,X,0
MSTR,Gain,3,4,0,X,101
MTLS,N/L,1,2,300,0.78,431
